Rank,Country,Proven_reserves,Production ,Consumption ,Exports ,Imports 
1,Venezuela,298350000000,3023000.0,571000.0,2452000.0,0.0
2,Saudi Arabia,267900000000,9684700.0,2817000.0,6880000.0,0.0
3,Canada,173100000000,3324300.0,2259000.0,1576000.0,770300.0
4,Iran,154600000000,3113300.0,1709000.0,2445000.0,15600.0
5,Iraq,141400000000,3054400.0,818000.0,2390000.0,0.0
6,Kuwait,104000000000,2650000.0,339000.0,1395000.0,0.0
7,United Arab Emirates,97800000000,2820000.0,572100.0,2142000.0,0.0
8,Russia,80000000000,10053800.0,3196000.0,4720000.0,16380.0
9,Libya,48010000000,918300.0,314000.0,1378000.0,0.0
10,Nigeria,37200000000,2367400.0,271600.0,2341000.0,0.0
11,Kazakhstan,30000000000,1572900.0,244200.0,1406000.0,119600.0
12,Qatar,25380000000,1553000.0,189700.0,1389000.0,0.0
13,United States,20680000000,7443400.0,18840000.0,41640.0,9213000.0
14,China,17300000000,4164100.0,9790000.0,33000.0,5664000.0
15,Brazil,13150000000,2023900.0,2594000.0,619100.0,343600.0
16,Algeria,12200000000,1461800.0,316400.0,1097000.0,6400.0
17,Angola,10470000000,1830700.0,79430.0,1928000.0,0.0
18,Mexico,10260000000,2561900.0,2133000.0,1460000.0,0.0
19,Ecuador,8240000000,526100.0,280000.0,413000.0,154000.0
20,Azerbaijan,7000000000,870600.0,168000.0,821000.0,0.0
21,Oman,5500000000,939900.0,98000.0,705100.0,0.0
22,India,5476000000,772100.0,3292000.0,0.0,3272000.0
23,Norway,5366000000,1529900.0,255200.0,1602000.0,11320.0
24,Egypt,4400000000,514400.0,816300.0,85000.0,48740.0
25,Vietnam,4400000000,335500.0,259900.0,188000.0,0.0
26,Indonesia,4030000000,825200.0,1322000.0,338100.0,388400.0
27,Malaysia,4000000000,515700.0,542900.0,269000.0,160500.0
28,South Sudan,3750000000,220000.0,,291800.0,0.0
29,United Kingdom,3122000000,801300.0,1217000.0,637800.0,1053000.0
30,Yemen,3000000000,129200.0,177000.0,175200.0,0.0
31,Argentina,2805000000,539800.0,678100.0,90920.0,0.0
32,Syria,2500000000,58000.0,258800.0,152400.0,0.0
33,Uganda,2500000000,0.0,16930.0,0.0,0.0
34,Colombia,2200000000,1003200.0,287000.0,777900.0,10.0
35,Gabon,2000000000,243200.0,15800.0,225300.0,0.0
36,Republic of the Congo,1600000000,265500.0,10710.0,290000.0,0.0
37,Chad,1500000000,97900.0,1817.0,125700.0,0.0
38,Australia,1433000000,332400.0,1023000.0,314100.0,475900.0
39,Sudan,1250000000,28830.0,95450.0,97270.0,0.0
40,Brunei,1100000000,122000.0,14640.0,147900.0,0.0
41,Equatorial Guinea,1100000000,269800.0,1588.0,319100.0,0.0
42,Denmark,805000000,175400.0,160200.0,155200.0,55010.0
43,Trinidad and Tobago,728300000,81300.0,41000.0,75340.0,70260.0
44,Ghana,660000000,97900.0,61590.0,0.0,32060.0
45,Turkmenistan,600000000,228500.0,145000.0,67000.0,0.0
46,Romania,600000000,85100.0,218200.0,1604.0,122000.0
47,Uzbekistan,594000000,70000.0,137100.0,0.0,0.0
48,Peru,579200000,62900.0,206900.0,15610.0,99590.0
49,Italy,521300000,101800.0,1454000.0,6300.0,1591000.0
50,Thailand,453300000,240600.0,721100.0,32200.0,793900.0
51,Tunisia,425000000,62200.0,88380.0,77980.0,3680.0
